"water_year","WB_annual_total_aet","WB_ave_aet","RS_annual_total_aet","RS_ave_monthly_aet","RS_annual_total_precip","RS_ave_monthly_precip","RS_annual_total_pet","RS_ave_monthly_pet","RS_annual_total_soil_moisture","RS_ave_monthly_soil_moisture","RS_ave_monthly_tmax","RS_ave_NDVI","RS_max_NDVI"
2001,587.531094797781,1.6172882621285,7266.5175197,605.543126641667,981.4029477,81.783578975,9052.8060403,754.400503358333,5882.9056524,490.2421377,162.544132825,0.55587533676,0.77523257015
2002,687.752039430347,1.88425216282287,7611.8193019,634.318275158333,810.4512765,67.537606375,10554.8982469,879.574853908333,4799.4015109,399.950125908333,186.88274325,0.604704362318261,0.75757228749
2003,891.758675826611,2.44317445431948,7364.3419327,613.695161058333,1611.5221682,134.293514016667,7717.9437825,643.161981875,8435.1273826,702.927281883333,154.125123433333,0.56389666308087,0.79401517954
2004,723.368042724339,1.97641541727961,8456.4211515,704.701762625,1539.4284967,128.285708058333,8775.6423627,731.303530225,8493.8031425,707.816928541667,166.33346615,0.591079046196087,0.8299094699
2005,291.097431566023,1.0402940049467,6588.5900454,549.04917045,1051.9133759,87.6594479916667,9533.4394923,794.453291025,6143.797854,511.9831545,171.334346558333,0.603580456338696,0.80074563602
2006,764.829805644382,2.0954241250531,8614.876143,717.90634525,1371.4239689,114.285330741667,10016.8870863,834.740590525,7465.9398102,622.16165085,176.212416425,0.59718430037,0.79847911241
2007,573.044736924723,1.58786851959451,7761.8748915,646.822907625,1154.973634,96.2478028333333,10404.3253953,867.027116275,6126.6707652,510.5558971,176.255389441667,0.599123072344348,0.80874432011
2008,732.001244088622,2.00000339914924,7735.3811136,644.6150928,1165.7744139,97.147867825,9951.1531854,829.26276545,6534.6502551,544.554187925,176.502381291667,0.607654834872609,0.80379094715
2009,769.080151218794,2.12549677265121,8702.9357976,725.2446498,1216.3847276,101.365393966667,9069.3557861,755.779648841667,8436.6690385,703.055753208333,164.503013516667,0.609735766636522,0.81770461752
2010,754.87949390482,2.06816299699951,7664.025223,638.668768583333,1263.1935491,105.266129091667,10336.5645044,861.380375366667,5807.5682514,483.96402095,178.361589958333,0.58759806742913,0.81226371908
2011,573.210318831844,1.58991015310736,7998.4670456,666.538920466667,1449.8755794,120.82296495,9472.4688045,789.372400375,7794.9458312,649.578819266667,170.61804795,0.575173212793043,0.80654967853
2012,521.198079421574,1.44803250711309,9027.7406385,752.311719875,1131.782242,94.3151868333333,10867.0556539,905.587971158333,5435.029944,452.919162,188.936915408333,0.643393213863478,0.81275057265
2013,714.898552891932,2.03650499506865,8747.2286648,728.935722066667,1335.0482605,111.254021708333,9464.127781,788.677315083333,7988.638668,665.719889,167.30271925,0.625846822185652,0.8170727335
2014,457.681758871484,1.27169084471375,8176.4996699,681.374972491667,1274.3967819,106.199731825,9355.8894046,779.657450383333,6480.1672356,540.0139363,162.1295352,0.562217756997826,0.80691829158
2015,791.153691215451,2.17650491948234,8343.5650275,695.297085625,1269.3652965,105.780441375,9802.0852398,816.84043665,6856.5710002,571.380916683333,166.735424458333,0.580441944993043,0.82201032716
2016,792.0003479209,2.16393537683306,8497.6957104,708.1413092,1121.4146356,93.4512196333333,10335.3774792,861.2814566,5973.0847969,497.757066408333,185.634697241667,0.613592400377391,0.81667794868
2017,790.317049978101,2.19049551269259,8874.5225103,739.543542525,1008.1979602,84.0164966833333,10262.167807,855.180650583333,5134.7434838,427.895290316667,181.1576402,0.639992004164783,0.83106655731
2018,590.423397379562,2.28129743122209,8841.9268225,736.827235208333,1418.921727,118.24347725,9024.7570473,752.063087275,8537.0216247,711.418468725,175.817170683333,0.624162390057391,0.8265961281
2019,356.224845316425,0.985668701604535,9216.5343672,768.0445306,1620.2806443,135.023387025,9554.8031465,796.233595541667,8471.4038814,705.95032345,178.1365959,0.62484506755087,0.80979454101
2020,821.732549882847,2.31731574811591,9374.3327364,781.1943947,1312.2839044,109.356992033333,10457.3888852,871.449073766667,7366.870468,613.905872333333,182.586494758333,0.623750612141739,0.82023509665
