"water_year","WB_annual_total_aet","WB_ave_aet","RS_annual_total_aet","RS_ave_monthly_aet","RS_annual_total_precip","RS_ave_monthly_precip","RS_annual_total_pet","RS_ave_monthly_pet","RS_annual_total_soil_moisture","RS_ave_monthly_soil_moisture","RS_ave_monthly_tmax","RS_ave_NDVI","RS_max_NDVI"
2006,782.068193018069,3.01591996057715,10427.6661451,868.972178758333,1227.0774789,102.256456575,11656.9047182,971.408726516667,12859.561114,1071.63009283333,216.401107258333,0.640337616094783,0.81183088751
2007,561.53687151495,1.65615960219247,8444.4383455,703.703195458333,991.6707658,82.6392304833333,12013.1396866,1001.09497388333,12391.1623478,1032.59686231667,221.681850566667,0.624918091412609,0.7811640106
2008,1069.89953298108,2.93269578215504,10612.3477907,884.362315891667,1209.4284649,100.785705408333,11944.2742853,995.356190441667,11764.0271836,980.335598633333,220.662536841667,0.629311914124783,0.80248018749
2009,750.891143826015,2.05723601048223,9219.5164551,768.293037925,1029.1131584,85.7594298666667,11047.0273228,920.585610233333,12570.6609919,1047.55508265833,210.503191083333,0.644216040394348,0.81020650499
2010,871.646441995449,2.38807244382315,9302.4254008,775.202116733333,1306.199969,108.849997416667,11629.7575189,969.146459908333,11416.437256,951.369771333333,216.995864016667,0.632502727737391,0.82945397188
2011,776.361059445565,2.20837947909724,9486.2471918,790.520599316667,1042.9766671,86.9147222583333,11471.0345079,955.919542325,8181.4027315,681.783560958333,216.33728975,0.642129400193044,0.79522324027
2012,925.380174251779,2.53617758516281,10161.7069286,846.808910716667,1057.7781239,88.1481769916667,11649.8938545,970.824487875,11766.147224,980.512268666667,227.44043385,0.660945564987391,0.80495801406
2013,808.78198825502,2.21584106371238,9871.7600177,822.646668141667,1163.5817513,96.9651459416667,10658.7226504,888.226887533333,14302.387952,1191.86566266667,206.919477458333,0.649833189675652,0.83869363155
2014,968.806860544869,2.6641720400296,10342.1525573,861.846046441667,1332.9525476,111.079378966667,10978.6380849,914.886507075,15847.1252675,1320.59377229167,208.070220808333,0.62430390001913,0.83100516915
2015,939.633042116693,2.57433710168957,9997.9295014,833.160791783333,1174.8977788,97.9081482333333,11079.1103157,923.259192975,14721.4315375,1226.78596145833,210.76657395,0.62719124578,0.82496707255
2016,1083.58960819359,2.96062734479123,10210.1982732,850.8498561,1358.5903292,113.215860766667,11521.3288983,960.110741525,14101.5088443,1175.125737025,225.085235416667,0.65898680810913,0.82988686366
2017,810.212599728255,2.21418618740944,10308.4278096,859.0356508,1118.7479662,93.2289971833333,11674.1649367,972.847078058333,14701.514489,1225.12620741667,225.926541675,0.645748533062609,0.83705790911
2018,1079.96928009146,3.06664938786391,10477.0124201,873.084368341667,1355.3595886,112.946632383333,10664.1450936,888.6787578,16150.6359303,1345.886327525,218.598137633333,0.642160430352609,0.83502495007
2019,611.906694039244,1.67645669599793,9598.8243308,799.902027566667,1297.1367208,108.094726733333,11592.282683,966.023556916667,13565.3844374,1130.44870311667,225.672340158333,0.642510904741739,0.79788636845
2020,956.425754044193,2.61318512033932,10962.8190137,913.568251141667,1456.4186991,121.368224925,11425.7975569,952.149796408333,15146.6310473,1262.21925394167,222.952290141667,0.671501010181304,0.83836383432
